"difference_type","surface_term","side","token_position","char_start","char_end","snippet","structural_identifier"
"evaluated_only","allowed","evaluated","984","5716","5723","ain: (A) A description, including at least one example, of the types of uses and disclosures that the covered entity is allowed by this subpart to make for each of the following purposes: treat- ment,...","222b5717d30c3f65795aac72a10882f1ee7cc52a5b256171479e63e0566b209b"
"shared_count_delta","B","evaluated","98","583","584","on, presentation of an agency identifica- tion badge, other official credentials, or other proof of government status; (B) If the request is in writing, the request is on the appropriate govern- ment ...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","263","1568","1569","ormation is requested, or, if a written statement would be impracticable, an oral state- ment of such legal authority; (B) If a request is made pursuant to legal process, warrant, subpoena, order, or ...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","589","3397","3398","ive health benefits under the group health plan through an insurance contract with a health insur- ance issuer or HMO; (B) From the health insurance issuer or HMO with respect to the group health plan...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","704","4070","4071","rolled from a health insurance issuer or HMO offered by the plan, must: (A) Maintain a notice under this sec- tion; or (B) Provide such notice upon request to any person. The provisions of para- graph...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1004","5837","5838","llowed by this subpart to make for each of the following purposes: treat- ment, payment, and health care oper- ations. (B) A description of each of the other purposes for which the covered entity is p...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","1057","6139","6140","ividual’s written authorization. (C) If a use or disclosure for any pur- pose described in paragraphs (b)(1)(ii)(A) or (B) of this section is pro- hibited or materially limited by other applicable law...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1112","6432","6433","ringent law as defined in § 160.202 of this sub- chapter. (D) For each purpose described in paragraph (b)(1)(ii)(A) or (B) of this section, the description must include sufficient detail to place the ...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1341","7760","7761","ntity intends to engage in any of the fol- lowing activities, the description re- quired by paragraph (b)(1)(ii)(A) or (B) of this section must include a separate statement informing the individual of...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","1395","8078","8079","al to raise funds for the covered entity and the individual has a right to opt out of receiving such communica- tions; (B) In accordance with § 164.504(f), the group health plan, or a health insur- an...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","1752","10217","10218","t required to agree to a requested restriction, ex- cept in case of a disclosure restricted under § 164.522(a)(1)(vi); (B) The right to receive confidential communications of protected health informat...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","1921","11230","11231","rivacy prac- tices, and to notify affected individuals following a breach of unsecured pro- tected health information; (B) A statement that the covered en- tity is not required to abide by the terms o...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","2473","14349","14350","rovide the notice: (A) No later than the compliance date for the health plan, to individuals then covered by the plan; (B) Thereafter, at the time of enroll- ment, to individuals who are new en- rolle...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","2691","15538","15539","erial change and how to obtain the revised notice, in its next annual mailing to individuals then covered by the plan. (B) A health plan that does not post its notice on a web site pursuant to paragra...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","evaluated","2812","16245","16246","ce de- livered electronically, to such indi- vidual after the compliance date for the covered health care provider; or (B) In an emergency treatment situa- tion, as soon as reasonably practicable afte...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","evaluated","2932","16960","16961","ervice delivery site for individuals to request to take with them; and 720Dept. of Health and Human Services § 164.520 (B) Post the notice in a clear and prominent location where it is reason- able to...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","98","582","583","on, presentation of an agency identifica- tion badge, other official credentials, or other proof of government status; (B) If the request is in writing, the request is on the appropriate govern- ment ...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","263","1564","1565","ormation is requested, or, if a written statement would be impracticable, an oral state- ment of such legal authority; (B) If a request is made pursuant to legal process, warrant, subpoena, order, or ...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","590","3396","3397","health benefits under the group health plan through an insurance contract with a health insur- ance issuer or HMO; or (B) From the health insurance issuer or HMO with respect to the group health plan ...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","reference","705","4070","4071","olled from a health insurance issuer or HMO offered by the plan, must: (A) Maintain a notice under this sec- tion; and (B) Provide such notice upon request to any person. The provisions of para- graph...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","reference","1006","5843","5844","mitted by this subpart to make for each of the following purposes: treat- ment, payment, and health care oper- ations. (B) A description of each of the other purposes for which the covered entity is p...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","1059","6145","6146","ividual’s written authorization. (C) If a use or disclosure for any pur- pose described in paragraphs (b)(1)(ii)(A) or (B) of this section is pro- hibited or materially limited by other applicable law...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","reference","1114","6438","6439","ringent law as defined in § 160.202 of this sub- chapter. (D) For each purpose described in paragraph (b)(1)(ii)(A) or (B) of this section, the description must include sufficient detail to place the ...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","reference","1343","7766","7767","ntity intends to engage in any of the fol- lowing activities, the description re- quired by paragraph (b)(1)(ii)(A) or (B) of this section must include a separate statement informing the individual of...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","reference","1397","8084","8085","al to raise funds for the covered entity and the individual has a right to opt out of receiving such communica- tions; (B) In accordance with § 164.504(f), the group health plan, or a health insur- an...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","1754","10223","10224","t required to agree to a requested restriction, ex- cept in case of a disclosure restricted under § 164.522(a)(1)(vi); (B) The right to receive confidential communications of protected health informat...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","1923","11236","11237","rivacy prac- tices, and to notify affected individuals following a breach of unsecured pro- tected health information; (B) A statement that the covered en- tity is required to abide by the terms of th...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","2475","14355","14356","rovide the notice: (A) No later than the compliance date for the health plan, to individuals then covered by the plan; (B) Thereafter, at the time of enroll- ment, to individuals who are new en- rolle...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","2693","15544","15545","erial change and how to obtain the revised notice, in its next annual mailing to individuals then covered by the plan. (B) A health plan that does not post its notice on a web site pursuant to paragra...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","B","reference","2814","16251","16252","ce de- livered electronically, to such indi- vidual after the compliance date for the covered health care provider; or (B) In an emergency treatment situa- tion, as soon as reasonably practicable afte...","29ff6f7124ec770ec7f191c4aada4e0467e531751aac412df8ea05d3d7b83e35"
"shared_count_delta","B","reference","2934","16966","16967","ervice delivery site for individuals to request to take with them; and 720Dept. of Health and Human Services § 164.520 (B) Post the notice in a clear and prominent location where it is reason- able to...","e461621737c419bbbbaae11606b1761f1a28ef4c745ce1b9da26b5452cdbadd9"
"shared_count_delta","may","evaluated","430","2528","2531","ection, an individual has a right to adequate notice of the uses and disclo- sures of protected health information that may be made by the covered enti- ty, and of the individual’s rights and the cove...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","1202","6947","6950","cribed in the notice will be made only with the individual’s written authorization, and a statement that the individual may revoke an au- thorization as provided by § 164.508(b)(5). (F) A description,...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","1369","7932","7935","informing the individual of such activities, as applicable: (A) In accordance with § 164.514(f)(1), the covered entity may contact the in- dividual to raise funds for the covered entity and the indivi...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","1421","8212","8215","ce with § 164.504(f), the group health plan, or a health insur- ance issuer or HMO with respect to a group health plan, may disclose pro- tected health information to the spon- sor of the plan; (C) If...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","1694","9874","9877","t of the individual’s rights with respect to protected health information and a brief description of how the individual may exercise these rights, as follows: (A) The right to request restrictions on ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","2044","11937","11940","will provide individuals with a revised notice. (vi) Complaints. The notice must con- tain a statement that individuals may complain to the covered entity and to the Secretary if they believe their pr...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","2071","12094","12097","d to the Secretary if they believe their pri- vacy rights have been violated, a brief description of how the individual may file a complaint with the covered enti- ty, and a statement that the individ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","2144","12506","12509","64.530(a)(1)(ii). (viii) Effective date. The notice must contain the date on which the notice is first in effect, which may not be earlier than the date on which the notice is printed or otherwise pub...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","2211","12875","12878","24 Edition) elects to limit the uses or disclosures that it is permitted to make under this subpart, the covered entity may de- scribe its more limited uses or disclo- sures in its notice, provided th...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","2229","12977","12980","he covered entity may de- scribe its more limited uses or disclo- sures in its notice, provided that the covered entity may not include in its notice a limitation affecting its right to make a use or ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","2377","13788","13791","er pri- vacy practices stated in the notice. Ex- cept when required by law, a material change to any term of the notice may not be implemented prior to the effec- tive date of the notice in which such...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","3061","17704","17707","t its notice on the web site and make the notice available elec- tronically through the web site. (ii) A covered entity may provide the notice required by this section to an individual by e-mail, if t...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","3260","18911","18914","Joint notice by separate covered entities. Cov- ered entities that participate in orga- nized health care arrangements may comply with this section by a joint no- tice, provided that: (1) The covered ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","3342","19411","19414","e imple- mentation specifications in paragraph (b) of this section, except that the statements required by this section may be altered to reflect the fact that the notice covers more than one cov- ere...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","evaluated","3544","20665","20668",") of this section for covered entities that participate in an organized health care arrangement to issue a joint notice may not be construed to remove any obligations or duties of entities cre- ating ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","34","190","193","y dated and signed in accordance with § 164.512(i)(2)(i) and (v). (ii) Identity of public officials. A cov- ered entity may rely, if such reliance is reasonable under the circumstances, on any of the ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","190","1133","1136","ishes that the person is acting on behalf of the public official. (iii) Authority of public officials. A covered entity may rely, if such reli- ance is reasonable under the cir- cumstances, on any of ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","430","2524","2527","ection, an individual has a right to adequate notice of the uses and disclo- sures of protected health information that may be made by the covered enti- ty, and of the individual’s rights and the cove...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","1204","6953","6956","cribed in the notice will be made only with the individual’s written authorization, and a statement that the individual may revoke an au- thorization as provided by § 164.508(b)(5). (F) A description,...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","1371","7938","7941","informing the individual of such activities, as applicable: (A) In accordance with § 164.514(f)(1), the covered entity may contact the in- dividual to raise funds for the covered entity and the indivi...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","1423","8218","8221","ce with § 164.504(f), the group health plan, or a health insur- ance issuer or HMO with respect to a group health plan, may disclose pro- tected health information to the spon- sor of the plan; (C) If...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","1696","9880","9883","t of the individual’s rights with respect to protected health information and a brief description of how the individual may exercise these rights, as follows: (A) The right to request restrictions on ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","2045","11939","11942","will provide individuals with a revised notice. (vi) Complaints. The notice must con- tain a statement that individuals may complain to the covered entity and to the Secretary if they believe their pr...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","2072","12096","12099","d to the Secretary if they believe their pri- vacy rights have been violated, a brief description of how the individual may file a complaint with the covered enti- ty, and a statement that the individ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","2146","12512","12515","64.530(a)(1)(ii). (viii) Effective date. The notice must contain the date on which the notice is first in effect, which may not be earlier than the date on which the notice is printed or otherwise pub...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","2213","12881","12884","24 Edition) elects to limit the uses or disclosures that it is permitted to make under this subpart, the covered entity may de- scribe its more limited uses or disclo- sures in its notice, provided th...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","2231","12983","12986","he covered entity may de- scribe its more limited uses or disclo- sures in its notice, provided that the covered entity may not include in its notice a limitation affecting its right to make a use or ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","2379","13794","13797","er pri- vacy practices stated in the notice. Ex- cept when required by law, a material change to any term of the notice may not be implemented prior to the effec- tive date of the notice in which such...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","3063","17710","17713","t its notice on the web site and make the notice available elec- tronically through the web site. (ii) A covered entity may provide the notice required by this section to an individual by e-mail, if t...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","3262","18917","18920","Joint notice by separate covered entities. Cov- ered entities that participate in orga- nized health care arrangements may comply with this section by a joint no- tice, provided that: (1) The covered ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","3344","19417","19420","e imple- mentation specifications in paragraph (b) of this section, except that the statements required by this section may be altered to reflect the fact that the notice covers more than one cov- ere...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","may","reference","3546","20671","20674",") of this section for covered entities that participate in an organized health care arrangement to issue a joint notice may not be construed to remove any obligations or duties of entities cre- ating ...","5f39ec49337a73b2951d03c7d7cdf8570621e92a193fad867eeddd09bda7883c"
"shared_count_delta","must","evaluated","34","190","194","y dated and signed in accordance with § 164.512(i)(2)(i) and (v). (ii) Identity of public officials. A cov- ered entity must rely, if such reliance is reasonable under the circumstances, on any of the...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","694","4016","4020","the group health plan, or is enrolled in or has disenrolled from a health insurance issuer or HMO offered by the plan, must: (A) Maintain a notice under this sec- tion; or (B) Provide such notice upon...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","894","5162","5166","ements. The covered entity, including any covered entity receiving or maintaining records subject to 42 U.S.C. 290dd-2, must provide a notice that is written in plain language and that contains the el...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","917","5300","5304","ice that is written in plain language and that contains the elements required by this paragraph. (i) Header. The notice must contain the following statement as a header or otherwise prominently displa...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","962","5587","5591","SED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY.’’ (ii) Uses and disclosures. The notice must contain: (A) A description, including at least one example, of the types of...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","1085","6288","6292","bited or materially limited by other applicable law, such as 42 CFR part 2, the description of such use or disclo- sure must reflect the more stringent law as defined in § 160.202 of this sub- chapter...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","1118","6468","6472","of this sub- chapter. (D) For each purpose described in paragraph (b)(1)(ii)(A) or (B) of this section, the description must include sufficient detail to place the individual on notice of the uses and...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","1345","7779","7783","gage in any of the fol- lowing activities, the description re- quired by paragraph (b)(1)(ii)(A) or (B) of this section must include a separate statement informing the individual of such activities, a...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","1592","9245","9249","the indi- vidual or the holder of the record, as provided in 42 CFR part 2. A court order authorizing use or disclosure must be accompanied by a subpoena or other legal requirement compelling disclosu...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","1647","9574","9578","FR part 2 intends to use or disclose such records for fundraising for the benefit of the covered entity, the individual must first be provided with a clear and conspicuous opportunity to elect not to ...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","1671","9731","9735","nd conspicuous opportunity to elect not to receive any fundraising communica- tions. (iv) Individual rights. The notice must contain a statement of the individual’s rights with respect to protected he...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","1871","10916","10920","n, to obtain a paper copy of the notice from the covered entity upon re- quest. (v) Covered entity’s duties. The notice must contain: (A) A statement that the covered en- tity is required by law to ma...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2021","11791","11795","e and to make the new notice provisions effective for all protected health information that it maintains. The statement must also describe how it will provide individuals with a revised notice. (vi) C...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2037","11893","11897","ns. The statement must also describe how it will provide individuals with a revised notice. (vi) Complaints. The notice must con- tain a statement that individuals may complain to the covered entity a...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2098","12255","12259","i- ty, and a statement that the individual will be retaliated against for filing a complaint. (vii) Contact. The notice must con- tain the name, or title, and telephone number of a person or office to...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2131","12438","12442","rson or office to contact for further information as required by § 164.530(a)(1)(ii). (viii) Effective date. The notice must contain the date on which the notice is first in effect, which may not be e...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2300","13357","13361","infor- mation created or received prior to issuing a revised notice, in accordance with § 164.530(i)(2)(ii), the notice must include the statements required by paragraph (b)(1)(v)(C) of this section. ...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2322","13485","13489","lude the statements required by paragraph (b)(1)(v)(C) of this section. (3) Revisions to the notice. The covered entity must promptly revise and dis- tribute its notice whenever there is a material ch...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2407","13974","13978","in which such material change is reflected. (c) Implementation specifications: Pro- vision of notice. A covered entity must make the notice required by this sec- tion available on request to any perso...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2451","14223","14227","s (c)(1) through (c)(3) of this sec- tion, as applicable. (1) Specific requirements for health plans. (i) A health plan must provide the notice: (A) No later than the compliance date for the health pl...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2500","14502","14506","oll- ment, to individuals who are new en- rollees. (ii) No less frequently than once every three years, the health plan must notify individuals then covered by the plan of the availability of the noti...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2634","15221","15225","otice: (A) A health plan that posts its no- tice on its web site in accordance with paragraph (c)(3)(i) of this section must prominently post the change or its re- vised notice on its web site by the ...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2714","15647","15651","the plan. (B) A health plan that does not post its notice on a web site pursuant to paragraph (c)(3)(i) of this section must provide the revised notice, or informa- tion about the material change and ...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","2776","16022","16026","red health care providers. A covered health care provider that has a direct treatment relationship with an indi- vidual must: (i) Provide the notice: (A) No later than the date of the first service de...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","3036","17562","17566","tity that main- tains a web site that provides informa- tion about the covered entity’s cus- tomer services or benefits must promi- nently post its notice on the web site and make the notice available...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","3106","17966","17970","as not been withdrawn. If the covered entity knows that the e- mail transmission has failed, a paper copy of the notice must be provided to the individual. Provision of electronic notice by the covere...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","3176","18381","18385","ction, if the first serv- ice delivery to an individual is deliv- ered electronically, the covered health care provider must provide electronic notice automatically and contempora- neously in response...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","3455","20127","20131","are operations relating to the organized health care arrangement. (3) The covered entities included in the joint notice must provide the no- tice to individuals in accordance with the applicable imple...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","evaluated","3590","20941","20945","of patients who are the subjects of such records. (e) Implementation specifications: Docu- mentation. A covered entity must docu- ment compliance with the notice re- quirements, as required by § 164.5...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","reference","695","4015","4019","the group health plan, or is enrolled in or has disenrolled from a health insurance issuer or HMO offered by the plan, must: (A) Maintain a notice under this sec- tion; and (B) Provide such notice upo...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","reference","896","5166","5170","ements. The covered entity, including any covered entity receiving or maintaining records subject to 42 U.S.C. 290dd-2, must provide a notice that is written in plain language and that contains the el...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
"shared_count_delta","must","reference","919","5304","5308","ice that is written in plain language and that contains the elements required by this paragraph. (i) Header. The notice must contain the following statement as a header or otherwise prominently displa...","1ba95f76e2cf34ac267881521b3dfc912f69006680bfa528044b009753b7fc3c"
